Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
6427,SpiceJet,15/04/2024,Banglore,Delhi,BLR → DEL,21:10,00:05 16 Apr,2h 55m,non-stop,No check-in baggage included,3331.15
6428,Vistara,12/06/2024,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No Info,10184.699999999999
6429,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,In-flight meal not included,9097.55
6430,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,23:35 19 May,28h 40m,1 stop,In-flight meal not included,9217.4
6431,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,19:50 16 May,24h 55m,1 stop,In-flight meal not included,9217.4
6432,IndiGo,27/06/2024,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No Info,2698.75
6433,Air India,1/06/2024,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No Info,8439.65
6434,Jet Airways,06/03/2024,Banglore,New Delhi,BLR → BOM → DEL,14:05,19:10,5h 5m,1 stop,No Info,16341.25
6435,SpiceJet,24/05/2024,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No Info,1714.45
6436,Jet Airways,21/03/2024,Banglore,New Delhi,BLR → BOM → DEL,11:40,12:15 19 Mar,24h 35m,1 stop,In-flight meal not included,6657.2
6437,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 02 May,26h 50m,1 stop,In-flight meal not included,8213.55
6438,Multiple carriers,9/06/2024,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No Info,5954.25
6439,IndiGo,12/05/2024,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No Info,2698.75
6440,Air India,1/04/2024,Kolkata,Banglore,CCU → MAA → BLR,14:35,15:20 02 Apr,24h 45m,1 stop,No Info,4255.099999999999
6441,Multiple carriers,15/06/2024,Delhi,Cochin,DEL → BOM → COK,08:45,19:15,10h 30m,1 stop,No Info,8097.099999999999
6442,Jet Airways,6/06/2024,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,No Info,11298.199999999999
6443,IndiGo,9/05/2024,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 10 May,5h 45m,1 stop,No Info,5149.3
6444,Air India,24/06/2024,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,07:40 25 Jun,26h 25m,3 stops,No Info,8919.05
6445,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6h 5m,1 stop,In-flight meal not included,9217.4
6446,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,No Info,9310.05
6447,Jet Airways,21/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 22 May,16h,1 stop,In-flight meal not included,9217.4
6448,Jet Airways,6/06/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 07 Jun,13h 20m,1 stop,In-flight meal not included,8958.15
6449,Jet Airways,15/06/2024,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,04:25 16 Jun,22h 55m,2 stops,No Info,11298.199999999999
6450,Vistara,18/05/2024,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No Info,5729.849999999999
6451,Jet Airways,6/06/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 07 Jun,13h 20m,1 stop,No Info,12385.35
6452,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No Info,12563.85
6453,IndiGo,18/05/2024,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No Info,3262.2999999999997
6454,Air India,18/06/2024,Delhi,Cochin,DEL → COK,14:05,17:55,3h 50m,non-stop,No Info,4420.849999999999
6455,Air Asia,9/06/2024,Delhi,Cochin,DEL → BLR → COK,07:55,15:45,7h 50m,1 stop,No Info,7445.15
6456,GoAir,24/04/2024,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No Info,5265.75
6457,Air India,15/03/2024,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No Info,2635.0
6458,SpiceJet,18/05/2024,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No Info,5078.75
6459,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,9217.4
6460,Jet Airways,27/05/2024,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 28 May,7h 30m,1 stop,No Info,13667.15
6461,SpiceJet,27/05/2024,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3011.5499999999997
6462,SpiceJet,3/05/2024,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3264.85
6463,Jet Airways,15/06/2024,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 16 Jun,17h 20m,1 stop,In-flight meal not included,8722.699999999999
6464,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,23:35,14h,1 stop,No Info,10788.199999999999
6465,IndiGo,1/06/2024,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No Info,3272.5
6466,Jet Airways,18/05/2024,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 19 May,20h 25m,1 stop,In-flight meal not included,10517.05
6467,Air India,21/03/2024,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No Info,2635.0
6468,Vistara,18/05/2024,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No Info,4146.3
6469,Jet Airways,9/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 10 May,23h 50m,2 stops,No Info,12859.65
6470,Multiple carriers Premium economy,21/03/2024,Delhi,Cochin,DEL → BOM → COK,08:55,21:00,12h 5m,1 stop,No Info,8368.25
6471,IndiGo,1/05/2024,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No Info,3465.45
6472,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No Info,7917.75
6473,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No Info,12563.85
6474,Air India,6/03/2024,Mumbai,Hyderabad,BOM → GOI → PNQ → HYD,16:50,16:55,5m,2 stops,No Info,14727.949999999999
6475,Air India,09/03/2024,Banglore,New Delhi,BLR → DEL,17:00,19:50,2h 50m,non-stop,No Info,8058.849999999999
6476,Jet Airways,27/03/2024,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,19:45 28 Mar,38h 35m,2 stops,In-flight meal not included,7597.3
6477,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,No Info,12229.8
6478,Air India,21/03/2024,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 22 Mar,26h 30m,1 stop,No Info,4848.4
6479,GoAir,9/06/2024,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No Info,3313.2999999999997
6480,Jet Airways,27/03/2024,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,No Info,4826.3
6481,IndiGo,9/03/2024,Delhi,Cochin,DEL → HYD → COK,07:35,12:00,4h 25m,1 stop,No Info,5896.45
6482,IndiGo,21/03/2024,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1h 25m,non-stop,No Info,2340.9
6483,SpiceJet,15/03/2024,Mumbai,Hyderabad,BOM → HYD,22:45,00:10 16 Mar,1h 25m,non-stop,No check-in baggage included,2249.95
6484,IndiGo,21/05/2024,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No Info,3592.1
6485,GoAir,18/05/2024,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No Info,3603.15
6486,IndiGo,27/06/2024,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 28 Jun,5h 5m,1 stop,No Info,7790.25
6487,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No Info,15561.8
6488,Multiple carriers,21/03/2024,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No Info,12313.1
6489,Air Asia,9/04/2024,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No Info,3639.7
6490,Multiple carriers,27/06/2024,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No Info,11548.949999999999
6491,Multiple carriers,3/06/2024,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No Info,11548.949999999999
6492,Jet Airways,27/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 28 Mar,20h 25m,1 stop,In-flight meal not included,5648.25
6493,SpiceJet,15/04/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No Info,3759.5499999999997
6494,Air India,18/03/2024,Banglore,New Delhi,BLR → BOM → BHO → DEL,17:25,23:25 16 Mar,30h,2 stops,No Info,9790.3
6495,Jet Airways,24/03/2024,Kolkata,Banglore,CCU → BOM → BLR,13:55,04:45 25 Mar,14h 50m,1 stop,No Info,11695.15
6496,SpiceJet,18/06/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No Info,3081.25
6497,IndiGo,15/03/2024,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No Info,3525.7999999999997
6498,Vistara,24/04/2024,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No Info,4771.05
6499,Air India,6/05/2024,Kolkata,Banglore,CCU → DEL → VGA → BLR,10:00,10:00 07 May,24h,2 stops,No Info,12153.3
6500,Jet Airways,21/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:00,21:20,13h 20m,1 stop,In-flight meal not included,6657.2
6501,IndiGo,21/05/2024,Delhi,Cochin,DEL → HYD → COK,08:35,18:10,9h 35m,1 stop,No Info,5475.7
6502,Jet Airways,1/04/2024,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No Info,4826.3
6503,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 02 Apr,9h 45m,1 stop,In-flight meal not included,6004.4
6504,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 19 May,16h 45m,1 stop,No Info,12028.35
6505,GoAir,24/06/2024,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No Info,2906.15
6506,Jet Airways,9/03/2024,Delhi,Cochin,DEL → BOM → COK,17:25,04:25 10 Mar,11h,1 stop,No Info,13220.9
6507,Air India,18/03/2024,Banglore,New Delhi,BLR → AMD → DEL,00:30,08:45,8h 15m,1 stop,No Info,11780.15
6508,SpiceJet,15/03/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40 16 Mar,2h 20m,non-stop,No Info,3269.95
6509,GoAir,09/03/2024,Banglore,New Delhi,BLR → GOI → DEL,15:50,20:15,4h 25m,1 stop,No Info,6508.45
6510,Air India,9/05/2024,Delhi,Cochin,DEL → HYD → BOM → COK,07:05,07:40 10 May,24h 35m,2 stops,No Info,11514.949999999999
6511,Jet Airways,27/05/2024,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No Info,6144.65
6512,Jet Airways,15/06/2024,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 16 Jun,21h 40m,2 stops,No Info,11369.6
6513,IndiGo,18/06/2024,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No Info,1892.95
6514,SpiceJet,21/06/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No Info,3375.35
6515,IndiGo,27/06/2024,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 28 Jun,16h 15m,1 stop,No Info,5633.8
6516,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 07 May,12h 55m,1 stop,No Info,11546.4
6517,SpiceJet,21/03/2024,Kolkata,Banglore,CCU → BLR,06:55,09:35,2h 40m,non-stop,No Info,3525.7999999999997
6518,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,No Info,12385.35
6519,SpiceJet,21/05/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40 22 May,2h 20m,non-stop,No check-in baggage included,3264.85
6520,Jet Airways,12/04/2024,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4418.3
6521,Air Asia,24/04/2024,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No Info,2875.5499999999997
6522,Jet Airways,6/06/2024,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,6121.7
6523,IndiGo,3/04/2024,Delhi,Cochin,DEL → COK,21:05,00:20 04 Apr,3h 15m,non-stop,No Info,4267.849999999999
6524,GoAir,3/05/2024,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No Info,3603.15
6525,Jet Airways,27/05/2024,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 28 May,17h 5m,2 stops,No Info,12859.65
6526,Vistara,01/03/2024,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No Info,18292.0
6527,IndiGo,3/03/2024,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No Info,6522.05
6528,IndiGo,18/06/2024,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No Info,4099.55
6529,Jet Airways,1/06/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,12911.5
6530,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,22:35,14h 10m,1 stop,No Info,12563.85
6531,IndiGo,18/05/2024,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No Info,4083.4
6532,Jet Airways,1/06/2024,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 02 Jun,23h 35m,1 stop,In-flight meal not included,8722.699999999999
6533,IndiGo,15/05/2024,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No Info,6377.55
6534,Jet Airways,15/06/2024,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No Info,6813.599999999999
6535,IndiGo,9/06/2024,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No Info,3441.65
6536,Air India,03/03/2024,Banglore,New Delhi,BLR → CCU → DEL,05:50,12:55,7h 5m,1 stop,No Info,10530.65
6537,SpiceJet,12/05/2024,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No Info,3057.45
6538,Multiple carriers,15/05/2024,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 16 May,14h,1 stop,No Info,11667.949999999999
6539,Jet Airways,1/05/2024,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No Info,4826.3
6540,Multiple carriers,9/05/2024,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No Info,6519.5
6541,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,9217.4
6542,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 02 Apr,25h 45m,1 stop,In-flight meal not included,6004.4
6543,Multiple carriers,3/06/2024,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No Info,7590.5
6544,Air Asia,1/04/2024,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No Info,3639.7
6545,IndiGo,21/06/2024,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No Info,4099.55
6546,Jet Airways,9/05/2024,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 10 May,21h 20m,1 stop,In-flight meal not included,10517.05
6547,Jet Airways,09/03/2024,Banglore,New Delhi,BLR → BOM → DEL,07:00,20:20,13h 20m,1 stop,In-flight meal not included,9423.949999999999
6548,Jet Airways,3/06/2024,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 04 Jun,6h 35m,1 stop,No Info,13667.15
6549,IndiGo,12/06/2024,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No Info,4760.849999999999
6550,SpiceJet,9/06/2024,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No Info,2340.0499999999997
6551,Jet Airways,27/06/2024,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 28 Jun,5h 35m,1 stop,In-flight meal not included,10963.3
6552,Multiple carriers,6/03/2024,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No Info,13262.55
6553,IndiGo,12/04/2024,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No Info,3547.9
6554,IndiGo,24/03/2024,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No Info,5222.4
6555,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No Info,12563.85
6556,IndiGo,15/06/2024,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 16 Jun,5h 45m,1 stop,No Info,5265.75
6557,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,08:15 07 May,25h 45m,1 stop,In-flight meal not included,7298.099999999999
6558,IndiGo,01/03/2024,Banglore,New Delhi,BLR → DEL,22:20,01:10 02 Mar,2h 50m,non-stop,No Info,10143.9
6559,Air India,15/05/2024,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 16 May,22h 25m,2 stops,No Info,12260.4
6560,Jet Airways,24/06/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No Info,15793.85
6561,Jet Airways,12/05/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 13 May,7h 30m,1 stop,No Info,11849.85
6562,Jet Airways,6/05/2024,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No Info,6144.65
6563,SpiceJet,15/05/2024,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No Info,3292.0499999999997
6564,Jet Airways,12/06/2024,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No Info,12506.9
6565,Air Asia,24/03/2024,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:25,22:55,7h 30m,2 stops,No Info,9558.25
6566,IndiGo,27/05/2024,Delhi,Cochin,DEL → BOM → COK,11:25,01:30 28 May,14h 5m,1 stop,No Info,5188.4
6567,IndiGo,6/03/2024,Delhi,Cochin,DEL → HYD → COK,07:35,22:20,14h 45m,1 stop,No Info,6029.9
6568,Jet Airways,24/03/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:45 25 Mar,22h 15m,1 stop,In-flight meal not included,8526.35
6569,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → BOM → BLR,05:45,12:00,6h 15m,1 stop,No Info,11849.85
6570,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 25 Jun,6h 30m,1 stop,No Info,6118.3
6571,SpiceJet,24/03/2024,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,non-stop,No check-in baggage included,3292.0499999999997
6572,Air India,12/03/2024,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No Info,4884.95
6573,Air India,15/06/2024,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No Info,2635.0
6574,Air India,6/05/2024,Kolkata,Banglore,CCU → BBI → BLR,09:10,13:15,4h 5m,1 stop,No Info,7646.599999999999
6575,Multiple carriers,15/05/2024,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1 stop,No Info,7737.55
6576,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,18:40,09:30 02 Mar,14h 50m,1 stop,1 Long layover,27051.25
6577,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 16 May,17h 35m,1 stop,No Info,12563.85
6578,Jet Airways,18/05/2024,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No Info,6144.65
6579,IndiGo,01/03/2024,Banglore,New Delhi,BLR → DEL,23:30,02:20 02 Mar,2h 50m,non-stop,No Info,8556.949999999999
6580,Jet Airways,9/04/2024,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 10 Apr,18h 45m,2 stops,No Info,9272.65
6581,IndiGo,27/04/2024,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No Info,4083.4
6582,Jet Airways,1/06/2024,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,3442.5
6583,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 16 May,27h 10m,1 stop,No Info,12028.35
6584,SpiceJet,1/06/2024,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3264.85
6585,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,No Info,12563.85
6586,Vistara,9/06/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1 stop,No Info,8389.5
6587,Air India,27/05/2024,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No Info,7570.95
6588,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,22:50,07:40 02 Mar,8h 50m,1 stop,No Info,22856.5
6589,GoAir,15/04/2024,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No Info,5265.75
6590,Jet Airways,21/03/2024,Banglore,New Delhi,BLR → BOM → DEL,14:05,19:10,5h 5m,1 stop,In-flight meal not included,6657.2
6591,Multiple carriers Premium economy,21/03/2024,Delhi,Cochin,DEL → BOM → COK,08:55,15:30,6h 35m,1 stop,No Info,9578.65
6592,Vistara,24/03/2024,Banglore,New Delhi,BLR → DEL,16:00,18:35,2h 35m,non-stop,No Info,4771.05
6593,IndiGo,1/05/2024,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No Info,3641.4
6594,Vistara,6/05/2024,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No Info,3967.7999999999997
6595,Air India,3/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No Info,12917.449999999999
6596,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,8414.15
6597,GoAir,27/06/2024,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No Info,3355.7999999999997
6598,Jet Airways,15/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:55,08:15 16 Mar,23h 20m,1 stop,In-flight meal not included,8844.25
6599,Multiple carriers,9/06/2024,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:30 10 Jun,13h 55m,3 stops,No Info,13106.15
6600,Multiple carriers,3/03/2024,Delhi,Cochin,DEL → BOM → COK,08:25,18:50,10h 25m,1 stop,No Info,12864.75
6601,Multiple carriers Premium economy,21/03/2024,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6h 35m,1 stop,No Info,11363.65
6602,Jet Airways,27/06/2024,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No Info,15983.4
6603,Air Asia,9/05/2024,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 10 May,10h 25m,1 stop,No Info,5738.349999999999
6604,Air India,9/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:30,08:55 10 May,12h 25m,1 stop,No Info,8672.55
6605,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,14h 20m,1 stop,No Info,23793.2
6606,Air India,12/06/2024,Delhi,Cochin,DEL → LKO → BOM → COK,07:10,19:15,12h 5m,2 stops,No Info,10614.8
6607,Jet Airways,12/04/2024,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4418.3
6608,Jet Airways,1/05/2024,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No Info,6144.65
6609,Air India,12/06/2024,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2 stops,No Info,10814.55
6610,Air India,6/03/2024,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,06:00,09:10 07 Mar,27h 10m,2 stops,No Info,11193.65
6611,Air India,15/05/2024,Kolkata,Banglore,CCU → BOM → HBX → BLR,09:25,18:20,8h 55m,2 stops,No Info,7111.099999999999
6612,Multiple carriers,9/05/2024,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,No Info,6519.5
6613,Jet Airways,1/04/2024,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No Info,6144.65
6614,Vistara,1/06/2024,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No Info,3967.7999999999997
6615,Air Asia,9/03/2024,Delhi,Cochin,DEL → BLR → COK,20:10,07:10 10 Mar,11h,1 stop,No Info,7077.95
6616,Jet Airways,21/05/2024,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 22 May,15h 40m,1 stop,In-flight meal not included,10963.3
6617,IndiGo,6/05/2024,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No Info,3592.1
6618,Jet Airways,27/06/2024,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 28 Jun,23h 45m,1 stop,In-flight meal not included,8722.699999999999
6619,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No Info,9076.3
6620,Air India,21/03/2024,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 22 Mar,14h 25m,2 stops,No Info,6844.2
6621,GoAir,24/03/2024,Banglore,New Delhi,BLR → DEL,11:40,14:35,2h 55m,non-stop,No Info,3313.2999999999997
6622,Air Asia,12/06/2024,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No Info,3235.95
6623,IndiGo,3/06/2024,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No Info,5812.3
6624,Jet Airways,24/06/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No Info,11061.9
6625,IndiGo,12/04/2024,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No Info,4440.4
6626,Multiple carriers,6/06/2024,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 07 Jun,12h 30m,1 stop,No Info,11370.449999999999
6627,GoAir,21/05/2024,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No Info,5638.05
6628,Air Asia,24/05/2024,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No Info,4413.2
